Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSG00000204655	6	29657002	29672372	MOG
ENSG00000204644	6	29672483	29681155	ZFP57
ENSG00000310484	6	29685959	29710174	
ENSG00000214922	6	29707518	29828496	HLA-F-AS1
ENSG00000233916	6	29708125	29708547	ZDHHC20P1
ENSG00000204642	6	29722775	29738528	HLA-F
ENSG00000225864	6	29722981	29723971	
ENSG00000239257	6	29726669	29727139	RPL23AP1
ENSG00000273340	6	29741731	29748969	MICE
ENSG00000227758	6	29748289	29748513	HCG9P5
ENSG00000199290	6	29750371	29750472	Y_RNA
ENSG00000235821	6	29750729	29751148	IFITM4P
ENSG00000272236	6	29751965	29752207	
ENSG00000285761	6	29752560	29768219	
ENSG00000270896	6	29763258	29763392	
ENSG00000290710	6	29790954	29805501	HLA-V
ENSG00000176998	6	29791753	29792750	HCG4
ENSG00000181126	6	29792234	29793136	HLA-V
ENSG00000261548	6	29800415	29802425	HLA-P
ENSG00000213880	6	29803195	29803991	RPL7AP7
ENSG00000237042	6	29812565	29812696	MICG
ENSG00000204632	6	29826967	29831125	HLA-G
ENSG00000229142	6	29827385	29828364	HCG4P8
ENSG00000290870	6	29849550	29885615	
ENSG00000285799	6	29852363	29852491	
ENSG00000293508	6	29862624	30067051	POLR1HASP
ENSG00000281831	6	29871895	29873783	HCP5B
ENSG00000230521	6	29887294	29888268	
ENSG00000310469	6	29887565	29924658	HLA-H
ENSG00000206341	6	29887752	29890482	HLA-H
ENSG00000231130	6	29896654	29897786	HLA-T
ENSG00000233677	6	29906543	29906909	DDX39BP1
ENSG00000235963	6	29907783	29908645	MCCD1P1
ENSG00000310508	6	29924693	29927151	
ENSG00000310496	6	29925918	29930754	
ENSG00000227262	6	29925983	29926973	HCG4B
ENSG00000230795	6	29926459	29929232	HLA-K
ENSG00000228078	6	29934101	29934286	HLA-U
ENSG00000206503	6	29941260	29949572	HLA-A
ENSG00000227766	6	29942075	29943067	
ENSG00000235290	6	29956596	29958570	HLA-W
ENSG00000310474	6	29956613	29992435	
ENSG00000229390	6	29970801	29972464	MICD
ENSG00000204625	6	29975112	29978586	HCG9
ENSG00000310512	6	29993075	29994141	
ENSG00000238024	6	29993209	29993605	DDX39BP2
ENSG00000224312	6	29994437	29995314	MCCD1P2
ENSG00000290574	6	30005971	30009970	
ENSG00000237669	6	30006121	30007116	
ENSG00000204622	6	30006606	30009539	HLA-J
ENSG00000232757	6	30031713	30033003	ETF1P1
ENSG00000278104	6	30035916	30035983	
ENSG00000204623	6	30056965	30058612	POLR1HASP
ENSG00000275856	6	30058115	30058190	
ENSG00000066379	6	30058899	30064909	POLR1H
ENSG00000278773	6	30061080	30061183	
ENSG00000204619	6	30066709	30070333	PPP1R11
ENSG00000204618	6	30070266	30075849	RNF39
ENSG00000231226	6	30100827	30114724	TRIM31-AS1
ENSG00000204616	6	30102897	30113090	TRIM31
ENSG00000252228	6	30132805	30132966	
ENSG00000204614	6	30136124	30148735	TRIM40
ENSG00000204613	6	30151943	30161211	TRIM10
ENSG00000204610	6	30163206	30172693	TRIM15
ENSG00000234127	6	30184455	30213427	TRIM26
ENSG00000233892	6	30186798	30188614	PAIP1P1
ENSG00000231074	6	30223522	30327401	HCG18
ENSG00000236475	6	30238301	30242279	TRIM26BP
ENSG00000291097	6	30259548	30293016	HLA-L
ENSG00000243753	6	30259625	30261703	HLA-L
ENSG00000280128	6	30282349	30286054	
ENSG00000204599	6	30326479	30343729	TRIM39
ENSG00000248167	6	30328907	30346854	TRIM39-RPP21
ENSG00000241370	6	30345131	30346884	RPP21
ENSG00000224372	6	30351416	30351550	HLA-N
ENSG00000224486	6	30359278	30359911	HCG19P
ENSG00000236405	6	30363112	30364280	UBQLN1P1
ENSG00000226577	6	30414715	30419319	MICC
ENSG00000286301	6	30451139	30456212	
ENSG00000305795	6	30453105	30453844	
ENSG00000288805	6	30460825	30481659	
ENSG00000299674	6	30463836	30465909	
ENSG00000229068	6	30466452	30467994	TMPOP1
ENSG00000224936	6	30468882	30470251	SUCLA2P1
ENSG00000236603	6	30485940	30486590	RANP1
ENSG00000204592	6	30489509	30494194	HLA-E
ENSG00000303124	6	30505878	30516328	
ENSG00000235781	6	30516266	30519672	LINC02569
ENSG00000204590	6	30541381	30556489	GNL1
ENSG00000308190	6	30557094	30557232	
ENSG00000204576	6	30557280	30563723	PRR3
ENSG00000290047	6	30558091	30571289	
ENSG00000204574	6	30571393	30597179	ABCF1
ENSG00000216101	6	30584332	30584417	MIR877
ENSG00000204569	6	30600413	30618612	PPP1R10
ENSG00000204568	6	30617840	30626395	MRPS18B
ENSG00000137343	6	30626842	30646823	ATAT1
ENSG00000228415	6	30633632	30633956	PTMAP1
ENSG00000204564	6	30647039	30653210	C6orf136
ENSG00000204560	6	30653119	30673006	DHX16
ENSG00000146112	6	30676389	30687895	PPP1R18
ENSG00000137404	6	30688047	30691420	NRM
ENSG00000230449	6	30696806	30697535	RPL7P4
ENSG00000137337	6	30699807	30717447	MDC1
ENSG00000224328	6	30703067	30713184	MDC1-AS1
ENSG00000196230	6	30717435	30725538	TUBB
ENSG00000272540	6	30723105	30723877	
ENSG00000137312	6	30727709	30742732	FLOT1
ENSG00000201988	6	30736304	30736414	Y_RNA
ENSG00000272273	6	30741859	30743736	IER3-AS1
ENSG00000137331	6	30743199	30744548	IER3
ENSG00000228022	6	30743790	30792250	HCG20
ENSG00000263608	6	30751038	30751289	RN7SL353P
ENSG00000298801	6	30752674	30753839	
ENSG00000296065	6	30768680	30769686	
ENSG00000296082	6	30782164	30782461	
ENSG00000214894	6	30797678	30830659	LINC00243
ENSG00000293879	6	30814806	30815529	
ENSG00000293897	6	30818674	30818960	
ENSG00000237923	6	30838324	30848276	LINC02570
ENSG00000202241	6	30864250	30864552	RN7SKP186
ENSG00000237775	6	30866982	30875918	DDR1-DT
ENSG00000204580	6	30876421	30900156	DDR1
ENSG00000284370	6	30890883	30890972	MIR4640
ENSG00000213780	6	30908207	30914106	GTF2H4
ENSG00000288473	6	30908242	30926459	
ENSG00000137411	6	30914205	30926459	VARS2
ENSG00000196260	6	30931353	30955636	SFTA2
ENSG00000252761	6	30932618	30932709	Y_RNA
ENSG00000310558	6	30934523	30938824	
ENSG00000168631	6	30940973	30954221	MUCL3
ENSG00000233529	6	30945979	30954862	HCG21
ENSG00000275906	6	30961403	30962396	NAPGP2
ENSG00000204544	6	30983718	30989903	MUC21
ENSG00000299738	6	31001298	31002003	
ENSG00000261272	6	31010474	31035402	MUC22
ENSG00000297077	6	31040344	31046161	
ENSG00000228789	6	31053311	31065229	HCG22
ENSG00000222895	6	31083010	31083109	RNU6-1133P
ENSG00000204542	6	31111223	31112575	C6orf15
ENSG00000204540	6	31114750	31140092	PSORS1C1
ENSG00000204539	6	31115087	31120446	CDSN
ENSG00000204538	6	31137534	31139066	PSORS1C2
ENSG00000238211	6	31140727	31140913	POLR2LP1
ENSG00000204536	6	31142439	31158238	CCHCR1
ENSG00000137310	6	31158331	31167159	TCF19
ENSG00000204531	6	31164337	31180731	POU5F1
ENSG00000204528	6	31173735	31186118	PSORS1C3
ENSG00000272501	6	31185197	31198037	
ENSG00000298457	6	31196411	31196876	
ENSG00000206344	6	31197715	31211696	HCG27
ENSG00000271821	6	31200165	31201918	
ENSG00000255726	6	31222913	31223093	
ENSG00000255899	6	31224342	31225058	
ENSG00000204525	6	31268749	31272130	HLA-C
ENSG00000298396	6	31271075	31356405	
ENSG00000288813	6	31271396	31272869	
ENSG00000214892	6	31275572	31278754	USP8P1
ENSG00000227939	6	31280317	31281519	RPL3P2
ENSG00000231402	6	31287510	31288964	WASF5P
ENSG00000256166	6	31293908	31301642	LINC02571
ENSG00000229836	6	31307815	31308549	
ENSG00000234745	6	31353872	31367067	HLA-B
ENSG00000298426	6	31353872	31381988	
ENSG00000277402	6	31355224	31355316	MIR6891
ENSG00000285647	6	31356506	31376268	
ENSG00000271581	6	31356647	31357637	
ENSG00000293281	6	31360865	31367354	
ENSG00000228432	6	31366352	31366898	DHFRP2
ENSG00000201658	6	31370134	31370240	RNU6-283P
ENSG00000298474	6	31375336	31378541	
ENSG00000230994	6	31377419	31378019	FGFR3P1
ENSG00000223702	6	31380411	31380839	ZDHHC20P2
ENSG00000225851	6	31382074	31382288	HLA-S
ENSG00000272221	6	31382711	31400793	MICA-AS1
ENSG00000297040	6	31389322	31397356	
ENSG00000204520	6	31399784	31415315	MICA
ENSG00000288587	6	31400702	31463705	
ENSG00000199332	6	31402152	31402250	Y_RNA
ENSG00000230174	6	31441643	31448726	LINC01149
ENSG00000233902	6	31462728	31463336	
ENSG00000206337	6	31463144	31494470	HCP5
ENSG00000286940	6	31479918	31494935	MICB-DT
ENSG00000204516	6	31494881	31511124	MICB
ENSG00000201680	6	31496689	31496790	Y_RNA
ENSG00000256851	6	31515979	31516211	
ENSG00000219797	6	31519480	31520291	PPIAP9
ENSG00000225499	6	31528114	31528693	RPL15P4
ENSG00000204511	6	31528962	31530232	MCCD1
ENSG00000198563	6	31530219	31542448	DDX39B
ENSG00000254870	6	31530219	31546608	ATP6V1G2-DDX39B
ENSG00000201785	6	31536374	31536449	SNORD117
ENSG00000265236	6	31541101	31541178	SNORD84
ENSG00000299760	6	31541664	31542230	
ENSG00000234006	6	31542304	31543138	DDX39B-AS1
ENSG00000213760	6	31544444	31548427	ATP6V1G2
ENSG00000204498	6	31546870	31558829	NFKBIL1
ENSG00000289406	6	31559817	31572781	
ENSG00000226979	6	31572054	31574324	LTA
ENSG00000232810	6	31575565	31578336	TNF
ENSG00000227507	6	31580525	31582522	LTB
ENSG00000204482	6	31586124	31588909	LST1
ENSG00000204475	6	31588895	31593006	NCR3
ENSG00000289375	6	31610853	31620998	
ENSG00000230622	6	31611083	31611356	UQCRHP1
ENSG00000204472	6	31615217	31617021	AIF1
ENSG00000301898	6	31620120	31620572	
ENSG00000204469	6	31620715	31637771	PRRC2A
ENSG00000291302	6	31622774	31622860	
ENSG00000200816	6	31623079	31623210	SNORA38
ENSG00000289282	6	31623874	31625499	
ENSG00000274494	6	31633787	31633858	MIR6832
ENSG00000204463	6	31639028	31652705	BAG6
ENSG00000204444	6	31652416	31658210	APOM
ENSG00000204439	6	31658298	31660778	C6orf47
ENSG00000227198	6	31658329	31660721	C6orf47-AS1
ENSG00000204438	6	31661228	31666283	GPANK1
ENSG00000201207	6	31663288	31663401	Y_RNA
ENSG00000204435	6	31665227	31670343	CSNK2B
ENSG00000263020	6	31666102	31673546	
ENSG00000240053	6	31669976	31673776	LY6G5B
ENSG00000204428	6	31676684	31684040	LY6G5C
ENSG00000204427	6	31686955	31703356	ABHD16A
ENSG00000204422	6	31686962	31714072	
ENSG00000266776	6	31701029	31701091	MIR4646
ENSG00000204424	6	31706866	31710679	LY6G6F
ENSG00000250641	6	31706904	31717918	LY6G6F-LY6G6D
ENSG00000293479	6	31711771	31714065	
ENSG00000255552	6	31712341	31713812	LY6G6E
ENSG00000244355	6	31715348	31717919	LY6G6D
ENSG00000204420	6	31718594	31726714	MPIG6B
ENSG00000204421	6	31718648	31721746	LY6G6C
ENSG00000213722	6	31727038	31730617	DDAH2
ENSG00000213719	6	31730581	31739763	CLIC1
ENSG00000204410	6	31739677	31762676	MSH5
ENSG00000255152	6	31740020	31764851	MSH5-SAPCD1
ENSG00000252743	6	31756951	31757053	RNU6-850P
ENSG00000228727	6	31762656	31764850	SAPCD1
ENSG00000235663	6	31764310	31765588	SAPCD1-AS1
ENSG00000204396	6	31765590	31777328	VWA7
ENSG00000204394	6	31777518	31795752	VARS1
ENSG00000201555	6	31778817	31778905	Y_RNA
ENSG00000204392	6	31797396	31806966	LSM2
ENSG00000308871	6	31806730	31807278	
ENSG00000204390	6	31809619	31815283	HSPA1L
ENSG00000204389	6	31815543	31817994	HSPA1A
ENSG00000289637	6	31820963	31822310	
ENSG00000204387	6	31822094	31839766	SNHG32
ENSG00000289829	6	31826377	31827443	
ENSG00000204388	6	31827738	31830254	HSPA1B
ENSG00000201823	6	31835263	31835326	SNORD48
ENSG00000201754	6	31837076	31837142	SNORD52
ENSG00000204386	6	31857063	31862905	NEU1
ENSG00000204385	6	31863192	31879046	SLC44A4
ENSG00000237080	6	31877808	31884204	EHMT2-AS1
ENSG00000204371	6	31879759	31897698	EHMT2
ENSG00000166278	6	31897785	31945673	C2
ENSG00000204366	6	31899613	31902086	ZBTB12
ENSG00000244255	6	31927698	31952048	
ENSG00000306378	6	31931267	31932835	
ENSG00000281756	6	31934448	31941724	C2-AS1
ENSG00000243649	6	31945650	31952086	CFB
ENSG00000204356	6	31952087	31959038	NELFE
ENSG00000284446	6	31956839	31956940	MIR1236
ENSG00000204351	6	31959116	31969818	SKIC2
ENSG00000204348	6	31969810	31972290	DXO
ENSG00000204344	6	31971091	31982821	STK19
ENSG00000244731	6	31982057	32002681	C4A
ENSG00000233627	6	31999976	32003521	C4A-AS1
ENSG00000290788	6	32005636	32008451	
ENSG00000204338	6	32005689	32008399	CYP21A1P
ENSG00000308247	6	32008419	32009106	
ENSG00000248290	6	32008614	32012472	TNXA
ENSG00000308228	6	32012939	32014189	
ENSG00000250535	6	32013270	32013787	STK19B
ENSG00000224389	6	32014795	32035418	C4B
ENSG00000229776	6	32032713	32036258	C4B-AS1
ENSG00000231852	6	32038327	32041644	CYP21A2
ENSG00000168477	6	32041153	32115334	TNXB
ENSG00000294466	6	32070935	32084749	
ENSG00000252512	6	32078508	32078628	RNA5SP206
ENSG00000284829	6	32098176	32117610	
ENSG00000286974	6	32108406	32112849	
ENSG00000213676	6	32115264	32128253	ATF6B
ENSG00000204315	6	32128707	32130288	FKBPL
ENSG00000204314	6	32148359	32153083	PRRT1
ENSG00000285085	6	32150495	32154373	
ENSG00000284954	6	32152802	32154365	
ENSG00000221988	6	32153441	32163678	PPT2
ENSG00000258388	6	32153845	32171978	PPT2-EGFL8
ENSG00000241404	6	32164595	32168281	EGFL8
ENSG00000204310	6	32168212	32178096	AGPAT1
ENSG00000284469	6	32170030	32170116	MIR6721
ENSG00000301753	6	32176248	32176892	
ENSG00000204308	6	32178405	32180793	RNF5
ENSG00000277264	6	32179816	32179876	MIR6833
ENSG00000204305	6	32180968	32184322	AGER
ENSG00000273333	6	32184733	32185882	
ENSG00000204304	6	32184733	32190202	PBX2
ENSG00000305139	6	32190250	32191118	
ENSG00000213654	6	32190766	32195523	GPSM3
ENSG00000204301	6	32194843	32224067	NOTCH4
ENSG00000225914	6	32254640	32407763	TSBP1-AS1
ENSG00000204296	6	32288526	32371907	TSBP1
ENSG00000237285	6	32325219	32326178	HNRNPA1P2
ENSG00000223335	6	32352877	32352983	RNU6-603P
ENSG00000204290	6	32393339	32407181	BTNL2
ENSG00000299769	6	32413680	32434531	
ENSG00000299747	6	32429926	32460708	
ENSG00000204287	6	32439878	32445046	HLA-DRA
ENSG00000196301	6	32459821	32473500	HLA-DRB9
ENSG00000310084	6	32473026	32473625	
ENSG00000307923	6	32473775	32501543	
ENSG00000198502	6	32517353	32530287	HLA-DRB5
ENSG00000304559	6	32530487	32530991	
ENSG00000304542	6	32546883	32547565	
ENSG00000251916	6	32549940	32550090	RNU1-61P
ENSG00000290878	6	32551855	32560022	HLA-DRB6
ENSG00000229391	6	32553046	32558186	HLA-DRB6
ENSG00000196126	6	32577902	32589848	HLA-DRB1
ENSG00000307907	6	32604738	32605072	
ENSG00000309733	6	32619341	32623123	
ENSG00000196735	6	32628179	32647062	HLA-DQA1
ENSG00000179344	6	32659467	32668383	HLA-DQB1
ENSG00000223534	6	32659880	32660729	HLA-DQB1-AS1
ENSG00000303029	6	32668575	32669152	
ENSG00000302994	6	32689522	32690354	
ENSG00000235040	6	32706124	32706955	MTCO3P1
ENSG00000232080	6	32718003	32719170	
ENSG00000226030	6	32730758	32731695	HLA-DQB3
ENSG00000237541	6	32741391	32747198	HLA-DQA2
ENSG00000263649	6	32749912	32749979	MIR3135B
ENSG00000232629	6	32756098	32763532	HLA-DQB2
ENSG00000302653	6	32790605	32792234	
ENSG00000241106	6	32812763	32820466	HLA-DOB
ENSG00000250264	6	32813767	32838822	
ENSG00000307274	6	32820801	32830196	
ENSG00000204267	6	32821833	32838739	TAP2
ENSG00000204264	6	32840717	32844679	PSMB8
ENSG00000204261	6	32844078	32846500	PSMB8-AS1
ENSG00000240065	6	32844136	32860734	PSMB9
ENSG00000168394	6	32845209	32853816	TAP1
ENSG00000293216	6	32879171	32879848	
ENSG00000234515	6	32879216	32879833	PPP1R2P1
ENSG00000289559	6	32891395	32894709	
ENSG00000289047	6	32894144	32903758	
ENSG00000235301	6	32896416	32896490	HLA-Z
ENSG00000242574	6	32934629	32941028	HLA-DMB
ENSG00000248993	6	32937364	32953122	
ENSG00000204257	6	32948613	32969094	HLA-DMA
ENSG00000204256	6	32968594	32981505	BRD2
ENSG00000223837	6	32970232	32970886	
ENSG00000263756	6	32972065	32972853	
ENSG00000204252	6	33004182	33009591	HLA-DOA
ENSG00000294261	6	33029675	33030177	
ENSG00000231389	6	33064569	33080775	HLA-DPA1
ENSG00000223865	6	33075936	33089696	HLA-DPB1
ENSG00000224796	6	33079451	33079860	RPL32P1
ENSG00000231461	6	33091753	33097295	HLA-DPA2
ENSG00000228688	6	33103794	33107330	COL11A2P1
ENSG00000291111	6	33112409	33141221	
ENSG00000224557	6	33112516	33129084	HLA-DPB2
ENSG00000301971	6	33117819	33124553	
ENSG00000301948	6	33130740	33143600	
ENSG00000237398	6	33131216	33143325	HLA-DPA3
ENSG00000230313	6	33144783	33147767	HCG24
ENSG00000204248	6	33162681	33192499	COL11A2
ENSG00000305994	6	33185788	33188670	
ENSG00000204231	6	33193588	33200665	RXRB
ENSG00000202441	6	33199601	33199696	RNY4P10
ENSG00000112473	6	33200305	33204439	SLC39A7
ENSG00000204228	6	33204655	33206831	HSD17B8
ENSG00000306895	6	33206949	33207854	
ENSG00000288751	6	33207081	33208638	
ENSG00000199036	6	33207835	33207944	MIR219A1
ENSG00000204227	6	33208500	33212722	RING1
ENSG00000306705	6	33214493	33215403	
ENSG00000225463	6	33215705	33216328	ZNF70P1
ENSG00000223457	6	33237799	33239690	HTATSF1P1
ENSG00000272217	6	33246075	33249929	
ENSG00000232940	6	33248510	33260681	HCG25
ENSG00000223501	6	33250272	33272047	VPS52
ENSG00000231500	6	33272075	33276511	RPS18
ENSG00000235863	6	33277123	33284832	B3GALT4
ENSG00000227057	6	33279108	33289247	WDR46
ENSG00000284517	6	33287227	33287289	MIR6873
ENSG00000204220	6	33289302	33298401	PFDN6
ENSG00000284064	6	33290245	33290325	MIR6834
ENSG00000237441	6	33291654	33298942	RGL2
ENSG00000289100	6	33299466	33301090	
ENSG00000231925	6	33299694	33314284	TAPBP
ENSG00000236104	6	33314406	33317941	ZBTB22
ENSG00000204209	6	33318558	33323016	DAXX
ENSG00000285064	6	33321386	33329286	
ENSG00000286920	6	33323628	33329279	SMIM40
ENSG00000229596	6	33338978	33339495	MYL12BP3
ENSG00000310006	6	33345555	33351765	
ENSG00000228285	6	33365548	33366243	LYPLA2P1
ENSG00000225644	6	33389374	33389475	RPL35AP4
ENSG00000237649	6	33391823	33409896	KIFC1
ENSG00000204194	6	33400059	33400556	RPL12P1
ENSG00000112511	6	33410399	33416453	PHF1
ENSG00000112514	6	33416442	33418317	CUTA
ENSG00000197283	6	33419661	33453689	SYNGAP1
ENSG00000274259	6	33436829	33454470	SYNGAP1-AS1
ENSG00000284256	6	33438331	33438437	MIR5004
ENSG00000213588	6	33453970	33457544	ZBTB9
